nome_cidade,lat,long
gabriel monteiro,-21.5299436,-50.5533059
florinia,-22.9016004,-50.7268005
nova independencia,-21.1066536,-51.4910804
palmeira d oeste,-27.9010519,-53.3135927
palmares paulista,-21.085369,-48.803656
taiacu,-21.143144,-48.511203
elisiario,-21.1673392,-49.1111015
santo expedito,-21.8508736,-51.3925315
embauba,-20.9819513,-48.837455
onda verde,-20.6071428,-49.2950997
oleo,-22.9422754,-49.3408082
meridiano,-20.3547223,-50.172574
suzanapolis,-20.5011185,-51.0246771
rincao,-21.5881095,-48.0724258
estrela d oeste,-29.5010545,-51.962226
estrela d'oeste,-20.2860692,-50.3986216
novais,-20.9941576,-48.9188283
nova luzitania,-20.8558333,-50.2619444
fernao,-22.3595388,-49.5209504
flora rica,-21.6760063,-51.3804532
lutecia,-22.338378,-50.394007
